length,hydrophobic_ratio,polar_ratio,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,acr_type
193,0.3834196891191709,0.2746113989637305,0.0259067357512953,0.005181347150259,0.0362694300518134,0.1036269430051813,0.0621761658031088,0.0518134715025906,0.005181347150259,0.0984455958549222,0.1088082901554404,0.1398963730569948,0.0259067357512953,0.082901554404145,0.0103626943005181,0.0259067357512953,0.0207253886010362,0.0880829015544041,0.0414507772020725,0.0259067357512953,0.005181347150259,0.0362694300518134,I
190,0.3631578947368421,0.2157894736842105,0.0894736842105263,0.0052631578947368,0.1421052631578947,0.0894736842105263,0.0368421052631578,0.0578947368421052,0.031578947368421,0.0631578947368421,0.0421052631578947,0.0684210526315789,0.031578947368421,0.0684210526315789,0.0157894736842105,0.0210526315789473,0.0368421052631578,0.0105263157894736,0.0631578947368421,0.0526315789473684,0.0210526315789473,0.0526315789473684,I
96,0.3958333333333333,0.1770833333333333,0.0104166666666666,0.0,0.0833333333333333,0.1770833333333333,0.09375,0.0104166666666666,0.0104166666666666,0.0729166666666666,0.1041666666666666,0.0833333333333333,0.03125,0.0520833333333333,0.0208333333333333,0.03125,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0729166666666666,0.03125,0.0520833333333333,I
103,0.3495145631067961,0.2718446601941747,0.0097087378640776,0.0,0.0776699029126213,0.145631067961165,0.0485436893203883,0.0097087378640776,0.0097087378640776,0.087378640776699,0.0970873786407767,0.0970873786407767,0.029126213592233,0.087378640776699,0.0194174757281553,0.029126213592233,0.0194174757281553,0.0194174757281553,0.0679611650485436,0.0388349514563106,0.0388349514563106,0.0679611650485436,I
123,0.3577235772357723,0.2682926829268293,0.032520325203252,0.008130081300813,0.1056910569105691,0.1219512195121951,0.024390243902439,0.016260162601626,0.008130081300813,0.1138211382113821,0.056910569105691,0.0975609756097561,0.032520325203252,0.056910569105691,0.040650406504065,0.008130081300813,0.016260162601626,0.040650406504065,0.08130081300813,0.056910569105691,0.0,0.08130081300813,I
123,0.3577235772357723,0.2764227642276423,0.032520325203252,0.008130081300813,0.1056910569105691,0.1138211382113821,0.024390243902439,0.016260162601626,0.008130081300813,0.1056910569105691,0.056910569105691,0.0975609756097561,0.032520325203252,0.056910569105691,0.040650406504065,0.016260162601626,0.016260162601626,0.040650406504065,0.08130081300813,0.065040650406504,0.0,0.08130081300813,I
123,0.3577235772357723,0.2682926829268293,0.032520325203252,0.008130081300813,0.0975609756097561,0.1219512195121951,0.024390243902439,0.016260162601626,0.008130081300813,0.1056910569105691,0.056910569105691,0.089430894308943,0.040650406504065,0.065040650406504,0.040650406504065,0.0,0.024390243902439,0.040650406504065,0.08130081300813,0.065040650406504,0.0,0.08130081300813,I
126,0.373015873015873,0.2777777777777778,0.0079365079365079,0.0,0.0238095238095238,0.119047619047619,0.0952380952380952,0.0317460317460317,0.0158730158730158,0.0793650793650793,0.1349206349206349,0.0634920634920634,0.0158730158730158,0.0555555555555555,0.0079365079365079,0.0555555555555555,0.0158730158730158,0.0714285714285714,0.0317460317460317,0.1031746031746031,0.0079365079365079,0.0634920634920634,I
90,0.3777777777777777,0.2333333333333333,0.0222222222222222,0.0,0.0222222222222222,0.1444444444444444,0.0666666666666666,0.0222222222222222,0.0,0.1444444444444444,0.1555555555555555,0.0666666666666666,0.0444444444444444,0.0777777777777777,0.0,0.0555555555555555,0.0444444444444444,0.0555555555555555,0.0222222222222222,0.0333333333333333,0.0,0.0222222222222222,I
105,0.3619047619047619,0.2285714285714285,0.0285714285714285,0.0,0.0285714285714285,0.1428571428571428,0.0380952380952381,0.0095238095238095,0.0,0.1238095238095238,0.1523809523809524,0.1047619047619047,0.0095238095238095,0.1047619047619047,0.0,0.0380952380952381,0.0761904761904762,0.0476190476190476,0.0095238095238095,0.0571428571428571,0.0,0.0285714285714285,I
