length,hydrophobic_ratio,polar_ratio,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,acr_type
193,0.38341968911917096,0.27461139896373055,0.025906735751295335,0.0051813471502590676,0.03626943005181347,0.10362694300518134,0.06217616580310881,0.05181347150259067,0.0051813471502590676,0.09844559585492228,0.10880829015544041,0.13989637305699482,0.025906735751295335,0.08290155440414508,0.010362694300518135,0.025906735751295335,0.02072538860103627,0.08808290155440414,0.04145077720207254,0.025906735751295335,0.0051813471502590676,0.03626943005181347,I-B
190,0.3631578947368421,0.21578947368421053,0.08947368421052632,0.005263157894736842,0.14210526315789473,0.08947368421052632,0.03684210526315789,0.05789473684210526,0.031578947368421054,0.06315789473684211,0.042105263157894736,0.06842105263157895,0.031578947368421054,0.06842105263157895,0.015789473684210527,0.021052631578947368,0.03684210526315789,0.010526315789473684,0.06315789473684211,0.05263157894736842,0.021052631578947368,0.05263157894736842,I-C
96,0.3958333333333333,0.17708333333333334,0.010416666666666666,0.0,0.08333333333333333,0.17708333333333334,0.09375,0.010416666666666666,0.010416666666666666,0.07291666666666667,0.10416666666666667,0.08333333333333333,0.03125,0.052083333333333336,0.020833333333333332,0.03125,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.07291666666666667,0.03125,0.052083333333333336,I-D
103,0.34951456310679613,0.27184466019417475,0.009708737864077669,0.0,0.07766990291262135,0.14563106796116504,0.04854368932038835,0.009708737864077669,0.009708737864077669,0.08737864077669903,0.0970873786407767,0.0970873786407767,0.02912621359223301,0.08737864077669903,0.019417475728155338,0.02912621359223301,0.019417475728155338,0.019417475728155338,0.06796116504854369,0.038834951456310676,0.038834951456310676,0.06796116504854369,I-D
123,0.35772357723577236,0.2682926829268293,0.032520325203252036,0.008130081300813009,0.10569105691056911,0.12195121951219512,0.024390243902439025,0.016260162601626018,0.008130081300813009,0.11382113821138211,0.056910569105691054,0.0975609756097561,0.032520325203252036,0.056910569105691054,0.04065040650406504,0.008130081300813009,0.016260162601626018,0.04065040650406504,0.08130081300813008,0.056910569105691054,0.0,0.08130081300813008,I-D
123,0.35772357723577236,0.2764227642276423,0.032520325203252036,0.008130081300813009,0.10569105691056911,0.11382113821138211,0.024390243902439025,0.016260162601626018,0.008130081300813009,0.10569105691056911,0.056910569105691054,0.0975609756097561,0.032520325203252036,0.056910569105691054,0.04065040650406504,0.016260162601626018,0.016260162601626018,0.04065040650406504,0.08130081300813008,0.06504065040650407,0.0,0.08130081300813008,I-D
123,0.35772357723577236,0.2682926829268293,0.032520325203252036,0.008130081300813009,0.0975609756097561,0.12195121951219512,0.024390243902439025,0.016260162601626018,0.008130081300813009,0.10569105691056911,0.056910569105691054,0.08943089430894309,0.04065040650406504,0.06504065040650407,0.04065040650406504,0.0,0.024390243902439025,0.04065040650406504,0.08130081300813008,0.06504065040650407,0.0,0.08130081300813008,I-D
126,0.373015873015873,0.2777777777777778,0.007936507936507936,0.0,0.023809523809523808,0.11904761904761904,0.09523809523809523,0.031746031746031744,0.015873015873015872,0.07936507936507936,0.1349206349206349,0.06349206349206349,0.015873015873015872,0.05555555555555555,0.007936507936507936,0.05555555555555555,0.015873015873015872,0.07142857142857142,0.031746031746031744,0.10317460317460317,0.007936507936507936,0.06349206349206349,I-D
90,0.37777777777777777,0.23333333333333334,0.022222222222222223,0.0,0.022222222222222223,0.14444444444444443,0.06666666666666667,0.022222222222222223,0.0,0.14444444444444443,0.15555555555555556,0.06666666666666667,0.044444444444444446,0.07777777777777778,0.0,0.05555555555555555,0.044444444444444446,0.05555555555555555,0.022222222222222223,0.03333333333333333,0.0,0.022222222222222223,I-D
105,0.3619047619047619,0.22857142857142856,0.02857142857142857,0.0,0.02857142857142857,0.14285714285714285,0.0380952380952381,0.009523809523809525,0.0,0.12380952380952381,0.1523809523809524,0.10476190476190476,0.009523809523809525,0.10476190476190476,0.0,0.0380952380952381,0.0761904761904762,0.047619047619047616,0.009523809523809525,0.05714285714285714,0.0,0.02857142857142857,I-D
