length,hydrophobic_ratio,polar_ratio,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,acr_type,predicted_type
494,0.3947368421052631,0.2105263157894736,0.0931174089068826,0.0080971659919028,0.0587044534412955,0.0587044534412955,0.048582995951417,0.048582995951417,0.0384615384615384,0.0465587044534413,0.0546558704453441,0.0951417004048583,0.0425101214574898,0.0303643724696356,0.0647773279352226,0.0283400809716599,0.0627530364372469,0.048582995951417,0.068825910931174,0.0607287449392712,0.0080971659919028,0.034412955465587,unknown,II
1055,0.4881516587677725,0.2075829383886256,0.1156398104265402,0.0,0.0426540284360189,0.0436018957345971,0.0530805687203791,0.0739336492890995,0.0132701421800947,0.0644549763033175,0.0265402843601895,0.1080568720379147,0.0350710900473933,0.0331753554502369,0.0540284360189573,0.0464454976303317,0.0502369668246445,0.0635071090047393,0.0464454976303317,0.1033175355450237,0.0085308056872037,0.0180094786729857,unknown,I
628,0.4617834394904458,0.267515923566879,0.1003184713375796,0.001592356687898,0.0429936305732484,0.0350318471337579,0.0493630573248407,0.0668789808917197,0.0095541401273885,0.0636942675159235,0.0398089171974522,0.1098726114649681,0.0350318471337579,0.0461783439490445,0.0509554140127388,0.0621019108280254,0.0238853503184713,0.0621019108280254,0.0684713375796178,0.0987261146496815,0.0047770700636942,0.0286624203821656,unknown,I
569,0.469244288224956,0.2601054481546573,0.1001757469244288,0.0017574692442882,0.0439367311072056,0.0298769771528998,0.0456942003514938,0.0685413005272407,0.0087873462214411,0.070298769771529,0.0404217926186291,0.1142355008787346,0.0369068541300527,0.0456942003514938,0.0492091388400703,0.0562390158172231,0.0281195079086115,0.0632688927943761,0.0650263620386643,0.0966608084358523,0.0052724077328646,0.0298769771528998,unknown,II
569,0.4745166959578207,0.2565905096660808,0.101933216168717,0.0017574692442882,0.0421792618629174,0.0298769771528998,0.0456942003514938,0.070298769771529,0.0087873462214411,0.070298769771529,0.0404217926186291,0.1159929701230228,0.0369068541300527,0.0456942003514938,0.047451669595782,0.0562390158172231,0.0281195079086115,0.0615114235500878,0.0632688927943761,0.0984182776801406,0.0052724077328646,0.0298769771528998,unknown,I
560,0.45,0.2267857142857142,0.0910714285714285,0.0035714285714285,0.0357142857142857,0.0553571428571428,0.0553571428571428,0.0875,0.0160714285714285,0.0482142857142857,0.0303571428571428,0.1214285714285714,0.0357142857142857,0.05,0.0410714285714285,0.0339285714285714,0.0535714285714285,0.0678571428571428,0.0464285714285714,0.0892857142857142,0.0089285714285714,0.0285714285714285,unknown,I
620,0.4629032258064516,0.2661290322580645,0.0983870967741935,0.0016129032258064,0.0435483870967741,0.0354838709677419,0.0483870967741935,0.0709677419354838,0.0080645161290322,0.064516129032258,0.0403225806451612,0.1112903225806451,0.0354838709677419,0.0467741935483871,0.0467741935483871,0.0612903225806451,0.0241935483870967,0.0612903225806451,0.0677419354838709,0.1,0.0048387096774193,0.0290322580645161,unknown,I
1059,0.5004721435316336,0.2134088762983947,0.1312559017941454,0.0018885741265344,0.0462700661000944,0.0339943342776204,0.0491029272898961,0.0717658168083097,0.0028328611898017,0.0727101038715769,0.0226628895184136,0.1076487252124645,0.012275731822474,0.0292728989612842,0.0491029272898961,0.052880075542965,0.0576015108593012,0.0500472143531633,0.0538243626062322,0.1189801699716713,0.0084985835694051,0.0273843248347497,unknown,I
569,0.469244288224956,0.2601054481546573,0.1001757469244288,0.0017574692442882,0.0439367311072056,0.0298769771528998,0.0456942003514938,0.0685413005272407,0.0087873462214411,0.070298769771529,0.0404217926186291,0.1142355008787346,0.0369068541300527,0.0456942003514938,0.0492091388400703,0.0562390158172231,0.0281195079086115,0.0632688927943761,0.0650263620386643,0.0966608084358523,0.0052724077328646,0.0298769771528998,unknown,II
1050,0.4742857142857143,0.2419047619047619,0.1104761904761904,0.0019047619047619,0.04,0.0371428571428571,0.0438095238095238,0.078095238095238,0.0038095238095238,0.0704761904761904,0.0219047619047619,0.1123809523809523,0.0209523809523809,0.0323809523809523,0.0533333333333333,0.0571428571428571,0.0476190476190476,0.0628571428571428,0.059047619047619,0.1095238095238095,0.0066666666666666,0.0304761904761904,unknown,I
